device_id,browser_type,os_type,device_type
-2147042689,Firefox,Ubuntu,Other
-2146219609,WhatsApp,Other,Spider
-2145574618,Chrome Mobile,Android,Generic Smartphone
-2144707350,Chrome Mobile WebView,Android,Samsung SM-G988B
-2143813999,Mobile Safari UI/WKWebView,iOS,iPhone
-2142634982,Chrome Mobile iOS,iOS,iPhone
-2142350383,Chrome Mobile iOS,iOS,iPhone
-2141256237,Chrome Mobile iOS,iOS,iPhone
-2138977887,Firefox,OpenBSD,Other
-2136667425,Chrome,Windows,Other
-2136444196,Chrome Mobile iOS,iOS,iPhone
-2136415223,Chrome Mobile WebView,Android,Samsung SM-A305GT
-2136251094,Firefox,Ubuntu,Other
-2136057702,CFNetwork,Other,iOS-Device
-2136012321,Chrome Mobile WebView,Android,MAR-LX3A
-2135188814,Chrome Mobile iOS,iOS,iPhone
-2134830273,Chrome Mobile iOS,iOS,iPhone
-2132039044,Chrome Mobile iOS,iOS,iPad
-2130748804,Chrome Mobile WebView,Android,Samsung SM-G981N
-2130745225,Spider_Bot,Other,Other
-2130305567,Chrome,Linux,Other
-2129896797,Chrome,Mac OS X,Other
-2128085523,Chrome Mobile WebView,Android,Samsung SM-A315G
-2126708320,Chrome Mobile iOS,iOS,iPhone
-2126397486,Chrome Mobile,Android,Generic Smartphone
-2126132454,Samsung Internet,Android,Samsung SM-G991U
-2125793743,Firefox,Windows,Other
-2125251608,Chrome,Linux,Other
-2124767567,Android,Android,Samsung SCH-I535
-2124652778,Chrome Mobile,Android,Generic Smartphone
-2123815485,Chrome Mobile WebView,Android,LIO-AL00
-2122766835,Samsung Internet,Android,Samsung SM-G965U
-2122467639,Chrome,Mac OS X,Other
-2121713015,Chrome Mobile iOS,iOS,iPhone
-2121263265,Firefox,Windows,Other
-2121093569,Chrome,Windows,Other
-2120889458,Mobile Safari UI/WKWebView,iOS,iPhone
-2120326344,Chrome,Windows,Other
-2119943132,Samsung Internet,Android,Samsung SM-G780F
-2119102289,Mobile Safari UI/WKWebView,iOS,iPhone
-2118924091,Chrome,Mac OS X,Other
-2117411552,Python Requests,Other,Other
-2116838136,Mobile Safari,iOS,iPhone
-2115965175,Chrome Mobile WebView,Android,EML-L29
-2114661436,QQ Browser Mobile,iOS,iPhone
-2114503565,Chrome,Mac OS X,Other
-2114178510,Mobile Safari UI/WKWebView,iOS,iPhone
-2113689323,Samsung Internet,Android,Samsung SM-A226B
-2113519925,Chrome Mobile WebView,Android,Infinix $2
-2112363116,DuckDuckBot,Other,Spider
-2111727454,Chrome Mobile WebView,Android,Generic Smartphone
-2110660326,Chrome Mobile WebView,Android,Generic Smartphone
-2110047137,tapbots,Other,Spider
-2109992657,Mobile Safari UI/WKWebView,iOS,iPhone
-2109776055,Firefox,Windows,Other
-2108803135,Opera Mini,Other,Generic Feature Phone
-2106394856,Chrome,Windows,Other
-2106347884,Chrome,Mac OS X,Other
-2106205896,Chrome Mobile WebView,Android,MT2111
-2105713114,Firefox,Linux,Other
-2105013133,Chrome Mobile,Android,Nokia undefined$2$3
-2105005076,Mobile Safari UI/WKWebView,iOS,iPhone
-2102231684,Chrome,Linux,Other
-2101999716,Opera,Mac OS X,Other
-2101582765,Firefox,Linux,Other
-2100047127,Facebook,Android,Generic Smartphone
-2099595846,Chrome Mobile WebView,Android,XiaoMi Redmi Note 7 Pro
-2099556445,Samsung Internet,Android,Samsung SM-E426B
-2098397779,Samsung Internet,Android,Samsung SM-A125F
-2097865557,Chrome Mobile WebView,Android,Pixel 5a
-2096788593,Safari,Mac OS X,Other
-2096266070,Chrome Mobile WebView,Android,vivo $2
-2096228070,Firefox,FreeBSD,Other
-2096192141,Samsung Internet,Android,Samsung SM-G975F
-2095604266,Safari,Mac OS X,Other
-2095515259,Spark%20Desktop%20Helper,Other,iOS-Device
-2092795077,Opera,Linux,Other
-2092629383,Samsung Internet,Android,Samsung SM-N970U1
-2092601858,Chrome Mobile WebView,Android,Pixel 2
-2092393573,Samsung Internet,Android,Samsung SM-N986B
-2092181643,Firefox,Windows,Other
-2091891584,Samsung Internet,Android,Samsung SM-A716U1
-2091730612,Chrome Mobile WebView,Android,Samsung SM-M317F
-2091231957,Chrome,Windows,Other
-2090993254,Mobile Safari UI/WKWebView,iOS,iPhone
-2090235908,Samsung Internet,Android,Samsung SM-A725F
-2089503856,Chrome Mobile,Android,XiaoMi MI MAX 2
-2089293381,Chrome Mobile WebView,Android,Samsung SM-A536E
-2087443608,Mobile Safari,iOS,iPad
-2085866341,Chrome Mobile WebView,Android,vivo $2
-2085321701,Chrome Mobile WebView,Android,vivo $2
-2085149032,Mobile Safari,iOS,iPhone
-2084318667,Safari,Mac OS X,Other
-2084287785,Mobile Safari,iOS,iPhone
-2083689608,Chrome Mobile iOS,iOS,iPhone
-2082252018,Chrome Mobile WebView,Android,CLT-L09
-2081730363,Python-urllib,Other,Spider
-2081317081,Firefox,Mac OS X,Other
-2081191363,Firefox Mobile,Android,Generic Smartphone
-2080322201,Chrome,Windows,Other
-2080304742,Mobile Safari UI/WKWebView,iOS,iPhone
-2079278496,Chrome,Mac OS X,Other
-2078519291,Python Requests,Linux,Other
-2076979963,Samsung Internet,Android,Samsung SM-A135F
-2076128108,Opera Mobile,Android,Generic Smartphone
-2072817803,Opera Mobile,Android,Generic Smartphone
-2071362662,Chrome Mobile,Android,Pixel
-2069376300,Chrome,Chrome OS,Other
-2068386191,Chrome Mobile WebView,Android,Samsung SM-S901U1
-2068131636,Chrome,Windows,Other
-2067772010,Samsung Internet,Android,Samsung SM-G973U1
-2067693187,Chrome,Mac OS X,Other
-2066742600,Mobile Safari UI/WKWebView,iOS,iPhone
-2065320544,Firefox,Linux,Other
-2064022213,Mobile Safari,iOS,iPhone
-2063200633,Android,Android,Generic Smartphone
-2062446472,Chrome,Android,Generic Smartphone
-2062349674,Firefox,Mac OS X,Other
-2061917479,Chrome,Mac OS X,Other
-2061381492,Firefox,Windows,Other
-2060199667,Chrome,Mac OS X,Other
-2059651084,Mobile Safari UI/WKWebView,iOS,iPad
-2055722684,Spark,Other,iOS-Device
-2055540866,Maxthon,Windows,Other
-2055273206,Client,Other,iOS-Device
-2054716226,Chrome,Windows,Other
-2052907308,Chrome,Mac OS X,Other
-2052796757,Firefox,Mac OS X,Other
-2051611422,Firefox Mobile,Android,Generic Smartphone
-2050837586,Chrome Mobile WebView,Android,Samsung SM-A336E
-2049641560,Safari,Mac OS X,Other
-2049110094,Chrome,Windows,Other
-2048766905,Chrome Mobile WebView,Android,Samsung SM-A528B
-2048742313,Chrome Mobile,Android,SOV33
-2048434568,Mobile Safari UI/WKWebView,iOS,iPhone
-2047742578,Chrome Mobile,Android,Generic Smartphone
-2046277465,Chrome Mobile,Android,XiaoMi Redmi 10C
-2046251057,Mobile Safari UI/WKWebView,iOS,iPhone
-2045962974,Opera Tablet,Windows,Generic Tablet
-2045889179,Chrome,Windows,Other
-2044850119,Firefox,Windows,Other
-2044631193,Mobile Safari UI/WKWebView,iOS,iPhone
-2043082522,Chrome Mobile iOS,iOS,iPad
-2043040641,Chrome,Windows,Other
-2042706818,Chrome Mobile WebView,Android,Samsung SM-S906E
-2042574384,Chrome,Windows,Other
-2041683397,Samsung Internet,Android,Samsung SM-G998B
-2040375530,Chrome Mobile,Android,Nokia undefined$2$3
-2039111419,Firefox,Linux,Other
-2039043473,Chrome Mobile iOS,iOS,iPhone
-2038347120,Mobile Safari,iOS,iPhone
-2036784386,Opera,Windows NT 4.0,Other
-2033774343,Safari,Mac OS X,Other
-2033104083,Chrome,Mac OS X,Other
-2032975990,Samsung Internet,Android,Samsung SM-G990B2
-2032300375,Firefox,Windows,Other
-2032156566,Chrome Mobile WebView,Android,AFTMM
-2031381032,Firefox,Linux,Other
-2031366892,Chrome,Mac OS X,Other
-2031348426,Firefox,Windows,Other
-2031224473,Chrome,Mac OS X,Other
-2031079237,Chrome Mobile,Android,XiaoMi Redmi Note 9S
-2029978007,Chrome Mobile WebView,Android,Samsung SM-A515F
-2029392681,Chrome Mobile WebView,Android,XiaoMi Redmi Note 9 Pro
-2029257545,Chrome Mobile,Android,Generic Smartphone
-2028869816,Firefox,Windows,Other
-2027695321,Chrome Mobile,Android,Mi Note 3
-2027660238,robot,Other,Spider
-2027510645,Chrome,Mac OS X,Other
-2027365462,HeadlessChrome,Linux,Other
-2026476791,Firefox,Mac OS X,Other
-2026450158,Chrome Mobile WebView,Android,OnePlus ONEPLUS A5010
-2025681339,Samsung Internet,Android,Samsung SM-N975U
-2025331837,Mobile Safari,iOS,iPhone
-2024956038,Mobile Safari UI/WKWebView,iOS,iPhone
-2024814571,Chrome,Mac OS X,Other
-2024465562,Chrome Mobile,Android,Generic Smartphone
-2022529174,Mobile Safari UI/WKWebView,iOS,iPad
-2021881771,PhantomBot,Other,Other
-2021367823,Chrome Mobile WebView,Android,Samsung SM-M336BU
-2021121436,Chrome Mobile WebView,Android,Samsung SM-A315N
-2020587528,Chrome,Mac OS X,Other
-2020382692,Chrome,Windows,Other
-2020335297,Mobile Safari UI/WKWebView,iOS,iPhone
-2018902891,ArchiveTeam ArchiveBot,Windows,Other
-2017578992,Chrome Mobile WebView,Android,Samsung SM-G965F
-2016804243,Mobile Safari UI/WKWebView,iOS,iPhone
-2016751183,Firefox Mobile,Android,Generic Smartphone
-2016221691,Firefox,Windows,Other
-2016095163,Chrome Mobile WebView,Android,Pixel 3a
-2014869261,Chrome Mobile iOS,iOS,iPad
-2014270450,Firefox,Windows,Other
-2012543895,Googlebot,Other,Spider
-2009603780,Chrome Mobile WebView,Android,OnePlus ONEPLUS A6010
-2009260941,Opera,Linux,Other
-2008060606,Chrome Mobile,Android,Nokia undefined$2$3
-2007183976,Sogou Explorer,Windows,Other
-2006632561,Chrome Mobile WebView,Android,Samsung SM-F926B
-2006484990,Chrome,Windows,Other
-2006267799,Firefox (Shiretoko),Ubuntu,Other
-2004085087,Chrome Mobile WebView,Android,LYA-L29
-2003805086,Chrome Mobile WebView,Android,Samsung SM-A750F
-2003433314,Mobile Safari UI/WKWebView,iOS,iPhone
-2003383646,Chrome Mobile iOS,iOS,iPhone
-2002699698,Samsung Internet,Android,Samsung SM-A326W
-2002627381,Bear,Other,Mac
-2001648078,Chrome Mobile WebView,Android,LYA-L09
-2001644620,Chrome,Linux,Other
-2000627999,Chrome,Chrome OS,Other
-2000080349,HeadlessChrome,Linux,Other
-1999937342,Mobile Safari UI/WKWebView,iOS,iPhone
-1998857101,Firefox,Linux,Other
-1998710212,Mobile Safari UI/WKWebView,iOS,iPhone
-1998183891,Safari,Mac OS X,Other
-1998100494,Chrome,Windows,Other
-1996189621,Firefox,Mac OS X,Other
-1993921748,Chrome,Mac OS X,Other
-1993265080,Firefox,Windows,Other
-1992885070,Chrome,Mac OS X,Other
-1991397251,WordPress,Other,Spider
-1990453217,davbot,Other,Spider
-1989513160,Other,Other,Spider
-1988239792,Pale Moon,Windows,Other
-1988196313,Chrome Mobile iOS,iOS,iPhone
