medal_id,sprite_uri,sprite_left,sprite_top,sprite_sheet_width,sprite_sheet_height,sprite_width,sprite_height,classification,description,name,difficulty
2315448068,,,,,,,,,,,
3565441934,,,,,,,,,,,
4162659350,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,750,750,74,74,1125,899,Breakout,Kill the last enemy within the last 10 seconds of a round.,Buzzer Beater,45
1573153198,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,0,300,74,74,1125,899,Breakout,Survive a one-on-one encounter.,Vanquisher,30
298813630,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,0,825,74,74,1125,899,Style,Kill an enemy with Spartan Charge.,Spartan Charge,135
3824002610,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,750,600,74,74,1125,899,Vehicles,Assist a player in destroying an enemy Ghost.,Ghost Assist,140
3324603383,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,225,750,74,74,1125,899,Warzone,Kill a Grunt.,Grunt Kill,60
979431049,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,975,675,74,74,1125,899,Breakout,Survive a two-on-one encounter.,Bifecta,25
3098362934,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,150,750,74,74,1125,899,WeaponProficiency,Kill a player in seven shots with the Carbine without missing.,Perfect Kill,25
2435743433,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,750,225,74,74,1125,899,Warzone,Kill an enemy in a controlled Base.,Base Defense,30
2430242797,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,675,300,74,74,1125,899,KillingSpree,Kill 5 opponents without dying.,Killing Spree,45
1427531503,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,375,0,74,74,1125,899,Style,Assist in a Team Takedown.,Team Takedown,245
2359847435,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,525,375,74,74,1125,899,Breakout,Kill every member of the opposing team in a round of Breakout.,Extinction,35
1691836029,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medals_3-16-16-5bc472e359714da28a59aa1bd27e9e2d.png,150,375,74,74,1350,824,Style,Recharge your shields 10 times in a single round.,Hard Target,105
2766284219,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,150,525,74,74,1125,899,Style,Kill an opponent with a single headshot from the Magnum after damaging them with your primary weapon.,Quickdraw,200
3354395650,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,375,600,74,74,1125,899,Strongholds,Capture 3 Strongholds in one life.,Capture Spree,10
2564994165,,,,,,,,WeaponProficiency,Pick up 3 power weapons from weapon pads in a single game.,Big Gun Runner,75
2896365521,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,300,450,74,74,1125,899,Style,Assist in a Team Takedown.,Team Takedown,245
3786961025,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,900,450,74,74,1125,899,Style,Kill an opponent with the impact from a thrown grenade.,Fastball,65
243900335,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medals_3-16-16-5bc472e359714da28a59aa1bd27e9e2d.png,750,375,74,74,1350,824,WeaponProficiency,Kill an enemy by using a Shotgun.,Shotgun Kill,110
2108880282,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,450,375,74,74,1125,899,WeaponProficiency,Kill an enemy with melee after shooting them with a Sniper Rifle.,Snipunch,70
3270120991,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,525,450,74,74,1125,899,Style,Kill an opponent by performing a melee attack from behind.,Beat Down,185
824733727,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,975,450,74,74,1125,899,Style,Distract an opponent who is then killed.,Distraction,150
3592822316,https://content.halocdn.com/media/Default/games/halo-5-guardians/sprites/medalspritesheet-be288ea5c0994a4e9d36f43aee7bc631.png,600,600,74,74,1125,899,KillingSpree,Win a Slayer game without dying and with at least 15 kills.,Perfection,5
