device_id,browser_type,os_type,device_type
000095d303eaf2cc2e5b1bb7fa9718a5,Chrome Mobile WebView,Android,Generic Smartphone
00123d7d8dce898a37fe1a09bd074585,Chrome,Mac OS X,Other
001b6a6c430de411d464e613ea343669,Samsung Internet,Android,Samsung SM-N960U1
0026f6b3bc40719395ce557ffe7f3962,Mobile Safari UI/WKWebView,iOS,iPhone
0031b552ef789d305acd3a5952386138,Chrome,Mac OS X,Other
0035c4aa19ae46c0e7ec1596e9fcba97,ev-crawler,Other,Spider
005662cd8d97bdff1c734dd66658982f,Chrome Mobile WebView,Android,OnePlus ONEPLUS A6003
00639c4b7c8fdd6f10461a04c472abf6,Chrome,Android,Generic Smartphone
00656f2cc30ed12d3befb7ff891fef08,Facebook,Android,Samsung SM-A125F
0078267c0273cde80658b830494d5981,Samsung Internet,Android,Samsung SM-G965F
007b9a5a652058a9d798ec37414a12a2,Chrome Mobile WebView,Android,Moto $2
007da3749e04b2a0dc2f4a1bfbd8776e,Chrome Mobile,Android,Generic Smartphone
0087451291aee3873868408e4dcba1b7,Chrome,Windows,Other
008d6e03523d31b44216590f480a9e53,Samsung Internet,Android,Samsung SM-G781U1
00a4170d601cf8cb41e61ccbe7eea6d5,Safari,Mac OS X,Other
00a4d92997548f8061234543e3598e2e,Firefox,Gentoo,Other
00b5748ff700486cd488423f2ec5d163,SEMC-Browser,Other,Ericsson K750i
00c4b5884b86403feeb4bd3a29ca4ef1,Chrome,Mac OS X,Other
00e3a4d0175874b91b11ff8ffcee4b56,Chrome Mobile WebView,Android,Generic Smartphone
01143648eb1539609891c209de29f483,Facebook,Android,Samsung SM-N970F
0119cdbfdb80077f37443c0f243e8749,Chrome Mobile,Android,LG $2
0151fe2aec2c28b319c8014f2fca0016,Mobile Safari UI/WKWebView,iOS,iPhone
016197071c183f9f2897d7e6f10166d0,HeadlessChrome,Linux,Other
0163a6ed776166615e896183e97ea069,Opera,Mac OS X,Other
01671602a88bdf97a78ae274cd37628d,Samsung Internet,Android,Samsung SM-M526B
016a0cf5a72f26783a6c712d18ec6e10,Mobile Safari UI/WKWebView,iOS,iPhone
0177725e1ab702858e0b0a6b64f27098,Chrome,Linux,Other
018c959d28999921eef549d5f0f37ca8,WhatsApp,Other,Spider
01a9b10aa6a04302dd4ba1dffcbd8222,Firefox,Windows,Other
01c7189cd3ed6c64ba1077cbd0094213,Chrome Mobile iOS,iOS,iPhone
01c8bf0b3dc12d8bbdb07d27403b7260,Firefox,Linux,Other
01cf81d4fc68fee49d594b37d3273ab9,Chrome,Mac OS X,Other
01e264d6107dc796f2048e009d385eae,Firefox,Mac OS X,Other
01e5f6cb9efee669bec4ed1f2b378762,Chrome,Windows,Other
01ec23c854016398033fae90e48de8b6,Chrome Mobile,Android,Generic Smartphone
01ed614b0de8cb864fd94e92a13041d9,Chrome,Mac OS X,Other
01f8a3b45b5e451f1c0938e763efa015,Mobile Safari,iOS,iPhone
01fd523f69fd1361e177a6a1cc4b8f93,Chrome,Mac OS X,Other
01ff0c4b402265e09872c8f5f68f324c,Firefox,Windows,Other
0205e48afc04f2d7536b169dce671426,Yandex Browser,Windows,Other
0226b39a9694160f33abca6a8d4bc4b1,Chrome Mobile WebView,Android,Samsung SM-S908B
02284853ac0ebe986334c6dfb0c2bbfd,Chrome,Windows,Other
0234c6d912f3ac03b233a066e1e54136,Samsung Internet,Android,Samsung SM-F721U1
024a54e2559c9d4fe695c937ec099a2e,Chrome,Windows,Other
024f8f48afa8ce67acfed0ba584502b6,Mobile Safari UI/WKWebView,iOS,iPhone
025e4f38ddfd3fb45ab6f3eae6f10e63,Firefox,Windows,Other
0279e690739110ad39a6aac046ca2b4f,Chrome,Mac OS X,Other
02839fcabe00f7c9bae19b20f6e42c1b,Chrome Mobile WebView,Android,Samsung SM-G973F
